topic,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
9,0.002207505518763797,0.002207505518763797,0.04415011037527594,0.013245033112582781,0.06622516556291391,0.05739514348785872,0.002207505518763797,0.03532008830022075,0.013245033112582781,0.02869757174392936,0.008830022075055188,0.008830022075055188,0.046357615894039736,0.01545253863134658,0.09933774834437085,0.006622516556291391,0.002207505518763797,0.01545253863134658,0.019867549668874173,0.013245033112582781,0.008830022075055188,0.019867549668874173,0.017660044150110375,0.006622516556291391,0.011037527593818985,0.046357615894039736,0.07947019867549669,0.07947019867549669,0.006622516556291391,0.002207505518763797,0.05739514348785872,0.017660044150110375,0.008830022075055188,0.006622516556291391,0.03090507726269316,0.0,0.0,0.0,0.0,0.0,0.0,0.002207505518763797,0.013245033112582781,0.046357615894039736,0.008830022075055188,0.02869757174392936
10,0.02654867256637168,0.05486725663716814,0.035398230088495575,0.01415929203539823,0.02654867256637168,0.06371681415929203,0.012389380530973451,0.012389380530973451,0.012389380530973451,0.04424778761061947,0.021238938053097345,0.07610619469026549,0.008849557522123894,0.02831858407079646,0.04070796460176991,0.0,0.01592920353982301,0.008849557522123894,0.01415929203539823,0.005309734513274336,0.012389380530973451,0.008849557522123894,0.01592920353982301,0.1592920353982301,0.017699115044247787,0.04247787610619469,0.02654867256637168,0.0035398230088495575,0.03008849557522124,0.03185840707964602,0.012389380530973451,0.012389380530973451,0.0017699115044247787,0.017699115044247787,0.02654867256637168,0.01415929203539823,0.0,0.0,0.0,0.0,0.007079646017699115,0.005309734513274336,0.0017699115044247787,0.005309734513274336,0.01415929203539823,0.010619469026548672
11,0.0022026431718061676,0.006607929515418502,0.006607929515418502,0.030837004405286344,0.011013215859030838,0.004405286343612335,0.011013215859030838,0.024229074889867842,0.006607929515418502,0.015418502202643172,0.006607929515418502,0.030837004405286344,0.006607929515418502,0.0022026431718061676,0.0022026431718061676,0.10572687224669604,0.0,0.015418502202643172,0.037444933920704845,0.06387665198237885,0.022026431718061675,0.05947136563876652,0.022026431718061675,0.05506607929515418,0.019823788546255508,0.030837004405286344,0.011013215859030838,0.0022026431718061676,0.03303964757709251,0.004405286343612335,0.0,0.019823788546255508,0.006607929515418502,0.028634361233480177,0.06607929515418502,0.00881057268722467,0.0,0.0,0.0,0.0,0.0022026431718061676,0.006607929515418502,0.048458149779735685,0.022026431718061675,0.1299559471365639,0.011013215859030838
12,0.016172506738544475,0.08086253369272237,0.0431266846361186,0.01078167115902965,0.01752021563342318,0.03908355795148248,0.01078167115902965,0.02021563342318059,0.005390835579514825,0.01078167115902965,0.02021563342318059,0.022911051212938006,0.04582210242587601,0.11725067385444744,0.03638814016172507,0.004043126684636119,0.025606469002695417,0.01078167115902965,0.012129380053908356,0.013477088948787063,0.006738544474393531,0.014824797843665768,0.025606469002695417,0.013477088948787063,0.01752021563342318,0.1940700808625337,0.0215633423180593,0.004043126684636119,0.03369272237196765,0.013477088948787063,0.0026954177897574125,0.005390835579514825,0.004043126684636119,0.018867924528301886,0.01078167115902965,0.005390835579514825,0.0,0.0,0.0,0.0,0.009433962264150943,0.014824797843665768,0.004043126684636119,0.005390835579514825,0.006738544474393531,0.004043126684636119
13,0.01891891891891892,0.08378378378378379,0.010810810810810811,0.032432432432432434,0.043243243243243246,0.0,0.0,0.016216216216216217,0.0,0.02702702702702703,0.13243243243243244,0.032432432432432434,0.01891891891891892,0.08108108108108109,0.032432432432432434,0.016216216216216217,0.005405405405405406,0.002702702702702703,0.0,0.013513513513513514,0.05405405405405406,0.0,0.01891891891891892,0.03513513513513514,0.10270270270270271,0.03783783783783784,0.01891891891891892,0.03513513513513514,0.0,0.0,0.005405405405405406,0.002702702702702703,0.04594594594594595,0.04054054054054054,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.005405405405405406,0.0,0.0,0.0,0.0,0.008108108108108109,0.0,0.008108108108108109,0.005405405405405406
14,0.0,0.0,0.007317073170731708,0.00975609756097561,0.014634146341463415,0.004878048780487805,0.0,0.05853658536585366,0.07317073170731707,0.024390243902439025,0.046341463414634146,0.004878048780487805,0.06097560975609756,0.0024390243902439024,0.0,0.0024390243902439024,0.0,0.0,0.0,0.0024390243902439024,0.05365853658536585,0.00975609756097561,0.03902439024390244,0.1048780487804878,0.06829268292682927,0.05121951219512195,0.012195121951219513,0.0,0.05121951219512195,0.012195121951219513,0.0,0.07560975609756097,0.026829268292682926,0.012195121951219513,0.08780487804878048,0.00975609756097561,0.0,0.0024390243902439024,0.0,0.0,0.0,0.0,0.014634146341463415,0.026829268292682926,0.01707317073170732,0.012195121951219513
15,0.0,0.010610079575596816,0.007957559681697613,0.005305039787798408,0.07161803713527852,0.021220159151193633,0.07427055702917772,0.03713527851458886,0.010610079575596816,0.021220159151193633,0.03183023872679045,0.0,0.015915119363395226,0.007957559681697613,0.021220159151193633,0.021220159151193633,0.03183023872679045,0.002652519893899204,0.03713527851458886,0.03713527851458886,0.002652519893899204,0.005305039787798408,0.002652519893899204,0.023872679045092837,0.0,0.005305039787798408,0.04509283819628647,0.03978779840848806,0.023872679045092837,0.04774535809018567,0.029177718832891247,0.010610079575596816,0.03183023872679045,0.013262599469496022,0.09814323607427056,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.010610079575596816,0.023872679045092837,0.09814323607427056,0.01856763925729443
16,0.0,0.0,0.0,0.002932551319648094,0.005865102639296188,0.0,0.0,0.11436950146627566,0.020527859237536656,0.017595307917888565,0.03519061583577713,0.002932551319648094,0.002932551319648094,0.0,0.0,0.0,0.01466275659824047,0.020527859237536656,0.008797653958944282,0.12903225806451613,0.09090909090909091,0.01466275659824047,0.01466275659824047,0.017595307917888565,0.0,0.0,0.005865102639296188,0.0,0.05278592375366569,0.02346041055718475,0.0,0.17888563049853373,0.05278592375366569,0.03812316715542522,0.04105571847507331,0.0,0.002932551319648094,0.0,0.0,0.0,0.005865102639296188,0.0,0.0,0.008797653958944282,0.07624633431085044,0.0
17,0.009836065573770493,0.03278688524590164,0.10163934426229508,0.08196721311475409,0.06229508196721312,0.029508196721311476,0.06229508196721312,0.06229508196721312,0.05901639344262295,0.10819672131147541,0.07868852459016394,0.07213114754098361,0.029508196721311476,0.03934426229508197,0.11147540983606558,0.04590163934426229,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.003278688524590164,0.0,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.006224066390041493,0.043568464730290454,0.014522821576763486,0.012448132780082987,0.026970954356846474,0.05394190871369295,0.022821576763485476,0.03734439834024896,0.035269709543568464,0.02074688796680498,0.03319502074688797,0.01037344398340249,0.04564315352697095,0.04149377593360996,0.01037344398340249,0.006224066390041493,0.014522821576763486,0.01037344398340249,0.026970954356846474,0.05186721991701245,0.012448132780082987,0.058091286307053944,0.06224066390041494,0.01867219917012448,0.016597510373443983,0.02074688796680498,0.03734439834024896,0.012448132780082987,0.002074688796680498,0.008298755186721992,0.008298755186721992,0.004149377593360996,0.01867219917012448,0.022821576763485476,0.022821576763485476,0.002074688796680498,0.0,0.0,0.0,0.0,0.004149377593360996,0.05186721991701245,0.06639004149377593,0.016597510373443983,0.004149377593360996,0.004149377593360996
