filename_key,more boring
G_GT_6_621#5,4.480000019073486
G_GT_6_621#6,2.640000104904175
G_GT_6_621#7,4.989999771118164
G_GT_6_621#8,7.690000057220459
G_GT_6_621#9,4.889999866485596
G_GT_6_626#0,5.28000020980835
G_GT_6_701#0,2.9200000762939453
G_GT_6_701#1,6.019999980926514
G_GT_6_706#0,8.5600004196167
G_GT_6_706#1,8.100000381469727
G_GT_6_706#2,8.720000267028809
G_GT_6_774#0,1.9600000381469727
G_GT_6_817#0,1.8200000524520874
G_GT_6_880#0,4.420000076293945
G_GT_6_888#0,7.059999942779541
G_GT_6_911#0,3.5999999046325684
G_GT_6_911#1,3.609999895095825
G_GT_6_911#2,2.0999999046325684
G_GT_6_1002#0,3.5799999237060547
G_GT_6_1002#1,1.0800000429153442
G_GT_6_1002#2,3.9100000858306885
G_GT_6_1002#3,4.639999866485596
G_GT_6_1002#4,2.490000009536743
G_GT_6_1052#0,1.0399999618530273
G_GT_6_1068#0,4.150000095367432
G_GT_6_1068#1,8.100000381469727
G_GT_6_1068#2,9.050000190734863
G_GT_6_1068#3,5.679999828338623
G_GT_6_1068#4,1.940000057220459
G_GT_6_1068#5,7.900000095367432
G_GT_6_1068#6,9.460000038146973
G_GT_6_1068#7,7.679999828338623
G_GT_6_1068#8,4.190000057220459
G_GT_6_1068#9,6.920000076293945
G_GT_6_1068#10,4.75
G_GT_6_1068#11,6.329999923706055
G_GT_6_1068#12,6.329999923706055
G_GT_6_1223#0,2.549999952316284
G_GT_6_1226#0,3.3499999046325684
G_GT_6_1226#1,6.170000076293945
G_GT_6_1293#0,0.9700000286102295
G_GT_6_1293#1,3.359999895095825
G_GT_6_1293#2,3.8399999141693115
G_GT_6_1293#3,1.0099999904632568
G_GT_6_1293#4,3.8399999141693115
G_GT_6_1293#5,3.359999895095825
G_GT_6_1293#6,1.0099999904632568
G_GT_6_1293#7,3.8399999141693115
G_GT_6_1293#8,3.359999895095825
G_GT_6_1293#9,1.0099999904632568
G_GT_6_1294#0,6.039999961853027
G_GT_6_1294#1,2.700000047683716
G_GT_6_1294#2,3.880000114440918
G_GT_6_1296#0,6.489999771118164
G_GT_6_1303#0,4.550000190734863
G_GT_6_1303#1,2.4800000190734863
G_GT_6_1306#0,2.140000104904175
G_GT_6_1306#1,1.440000057220459
G_GT_6_1315#0,4.519999980926514
G_GT_6_1316#0,8.359999656677246
G_GT_6_1316#1,8.3100004196167
G_GT_6_1320#0,6.820000171661377
G_GT_6_1320#1,6.710000038146973
G_GT_6_1340#0,6.389999866485596
G_GT_6_1340#1,4.820000171661377
G_GT_6_1340#2,8.520000457763672
G_GT_6_1340#3,7.710000038146973
G_GT_6_1345#0,5.880000114440918
G_GT_6_1345#1,2.7200000286102295
G_GT_6_1367#0,7.119999885559082
G_GT_6_1367#1,1.3700000047683716
G_GT_6_1367#2,0.949999988079071
G_GT_6_1367#3,7.940000057220459
G_GT_6_1375#0,8.8100004196167
G_GT_6_1375#1,5.480000019073486
G_GT_6_1376#0,4.5
G_GT_6_1380#0,4.980000019073486
G_GT_6_1384#0,7.380000114440918
G_GT_6_1384#1,4.78000020980835
G_GT_6_1384#2,5.239999771118164
G_GT_6_1384#3,5.670000076293945
G_GT_6_1384#4,7.190000057220459
G_GT_6_1393#0,3.8299999237060547
G_GT_6_1394#0,1.3200000524520874
G_GT_6_1394#1,3.8499999046325684
G_GT_6_1407#0,3.1500000953674316
G_GT_6_1418#0,6.329999923706055
G_GT_6_1419#0,5.760000228881836
G_GT_6_1419#1,7.5
G_GT_6_1419#2,3.369999885559082
G_GT_6_1421#0,4.659999847412109
G_GT_6_1421#1,1.0199999809265137
G_GT_6_1421#2,0.4000000059604645
G_GT_6_1421#3,6.039999961853027
G_GT_6_1423#0,2.700000047683716
G_GT_6_1423#1,3.4000000953674316
G_GT_6_1423#2,6.03000020980835
G_GT_6_1443#0,7.650000095367432
G_GT_6_1443#1,8.470000267028809
G_GT_6_1443#2,4.510000228881836
G_GT_6_1443#3,3.430000066757202
G_GT_6_1443#4,5.929999828338623
G_GT_6_1443#5,3.0199999809265137
G_GT_6_1443#6,5.349999904632568
G_GT_6_1443#7,7.760000228881836
G_GT_6_1443#8,7.760000228881836
G_GT_6_1443#9,3.0999999046325684
G_GT_6_1443#10,6.710000038146973
G_GT_6_1443#11,1.309999942779541
G_GT_6_1443#12,6.260000228881836
G_GT_6_1443#13,6.880000114440918
G_GT_6_1443#14,6.900000095367432
G_GT_6_1443#15,3.630000114440918
G_GT_6_1443#16,2.9700000286102295
G_GT_6_1443#17,3.3499999046325684
G_GT_6_1443#18,1.909999966621399
G_GT_6_1443#19,5.349999904632568
G_GT_6_1443#20,5.070000171661377
G_GT_6_1443#21,5.590000152587891
G_GT_6_1443#22,4.739999771118164
G_GT_6_1443#23,5.699999809265137
G_GT_6_1444#0,5.059999942779541
G_GT_6_1444#1,6.480000019073486
G_GT_6_1444#2,1.0499999523162842
G_GT_6_1444#3,3.6700000762939453
G_GT_6_1458#0,6.449999809265137
G_GT_6_1458#1,2.299999952316284
G_GT_6_1458#2,3.240000009536743
G_GT_6_1458#3,4.630000114440918
G_GT_6_1458#4,3.440000057220459
G_GT_6_1458#5,2.3299999237060547
G_GT_6_1458#6,3.859999895095825
G_GT_6_1458#7,3.259999990463257
G_GT_6_1459#0,1.809999942779541
G_GT_6_1459#1,2.990000009536743
G_GT_6_1463#0,7.699999809265137
G_GT_6_1464#0,2.609999895095825
G_GT_6_1464#1,5.400000095367432
G_GT_6_1464#2,2.5
G_GT_6_1485#0,8.319999694824219
G_GT_6_1485#1,7.800000190734863
G_GT_6_1485#2,1.840000033378601
G_GT_6_1492#0,1.850000023841858
G_GT_6_1492#1,4.110000133514404
G_GT_6_1494#0,4.829999923706055
G_GT_6_1500#0,3.0799999237060547
G_GT_6_1500#1,3.549999952316284
G_GT_6_1500#2,5.179999828338623
G_GT_6_1502#0,3.4100000858306885
G_GT_6_1502#1,2.7200000286102295
G_GT_6_1502#2,4.269999980926514
G_GT_6_1502#3,6.769999980926514
G_GT_6_1505#0,5.590000152587891
G_GT_6_1505#1,2.7899999618530273
G_GT_6_1510#0,4.440000057220459
G_GT_6_1510#1,2.799999952316284
G_GT_6_1515#0,7.099999904632568
G_GT_6_1515#1,3.5199999809265137
G_GT_6_1515#2,1.5099999904632568
G_GT_6_1518#0,4.050000190734863
G_GT_6_1518#1,5.800000190734863
G_GT_6_1518#2,3.240000009536743
G_GT_6_1518#3,4.489999771118164
G_GT_6_1518#4,3.7799999713897705
G_GT_6_1518#5,4.019999980926514
G_GT_6_1518#6,2.619999885559082
G_GT_6_1518#7,8.75
G_GT_6_1518#8,6.829999923706055
G_GT_6_1518#9,5.559999942779541
G_GT_6_1518#10,6.519999980926514
G_GT_6_1518#11,3.0299999713897705
G_GT_6_1518#12,5.53000020980835
G_GT_6_1518#13,2.3299999237060547
G_GT_6_1518#14,3.2699999809265137
G_GT_6_1518#15,1.409999966621399
G_GT_6_1518#16,3.049999952316284
G_GT_6_1519#0,2.009999990463257
G_GT_6_1525#0,7.400000095367432
G_GT_6_1525#1,1.440000057220459
G_GT_6_1525#2,4.980000019073486
G_GT_6_1525#3,2.509999990463257
G_GT_6_1525#4,1.9600000381469727
G_GT_6_1525#5,0.8199999928474426
G_GT_6_1525#6,7.730000019073486
G_GT_6_1525#7,2.7699999809265137
G_GT_6_1525#8,1.6399999856948853
G_GT_6_1525#9,6.449999809265137
G_GT_6_1527#0,3.0299999713897705
G_GT_6_1527#1,3.4200000762939453
G_GT_6_1527#2,6.650000095367432
G_GT_6_1527#3,3.2300000190734863
G_GT_6_1527#4,3.5799999237060547
G_GT_6_1527#5,5.809999942779541
G_GT_6_1527#6,4.150000095367432
G_GT_6_1527#7,5.739999771118164
G_GT_6_1527#8,6.710000038146973
G_GT_6_1527#9,4.599999904632568
G_GT_6_1527#10,5.03000020980835
G_GT_6_1527#11,7.090000152587891
G_GT_6_1527#12,4.260000228881836
G_GT_6_1527#13,3.8299999237060547
G_GT_6_1527#14,5.679999828338623
G_GT_6_1527#15,4.519999980926514
G_GT_6_1527#16,3.180000066757202
G_GT_6_1527#17,3.7200000286102295
G_GT_6_1527#18,2.0999999046325684
