filename_key,more beautiful
G_GT_5_22#6,5.389999866485596
G_GT_5_22#7,2.390000104904175
G_GT_5_22#8,2.2200000286102295
G_GT_5_22#9,8.25
G_GT_5_22#10,1.1200000047683716
G_GT_5_22#11,1.6799999475479126
G_GT_5_22#12,7.0
G_GT_5_22#13,6.190000057220459
G_GT_5_22#14,6.510000228881836
G_GT_5_22#15,8.789999961853027
G_GT_5_22#16,7.480000019073486
G_GT_5_22#17,9.649999618530273
G_GT_5_32#0,7.980000019073486
G_GT_5_59#0,4.150000095367432
G_GT_5_59#1,0.7799999713897705
G_GT_5_125#0,9.3100004196167
G_GT_5_125#1,7.269999980926514
G_GT_5_125#2,5.610000133514404
G_GT_5_125#3,8.90999984741211
G_GT_5_125#4,8.329999923706055
G_GT_5_162#0,7.869999885559082
G_GT_5_162#1,5.300000190734863
G_GT_5_162#2,8.0
G_GT_5_162#3,5.0
G_GT_5_162#4,5.679999828338623
G_GT_5_188#0,4.570000171661377
G_GT_6_85#0,3.4200000762939453
G_GT_6_91#0,4.730000019073486
G_GT_6_283#0,1.7400000095367432
G_GT_6_283#1,4.489999771118164
G_GT_6_283#2,6.309999942779541
G_GT_6_283#3,8.239999771118164
G_GT_6_338#0,1.090000033378601
G_GT_6_338#1,1.0299999713897705
G_GT_6_338#2,1.0700000524520874
G_GT_6_338#3,3.569999933242798
G_GT_6_338#4,6.820000171661377
G_GT_6_338#5,2.319999933242798
G_GT_6_349#0,1.8600000143051147
G_GT_6_349#1,8.819999694824219
G_GT_6_349#2,4.21999979019165
G_GT_6_349#3,8.09000015258789
G_GT_6_349#4,6.619999885559082
G_GT_6_349#5,6.809999942779541
G_GT_6_349#6,9.520000457763672
G_GT_6_356#0,5.630000114440918
G_GT_6_356#1,7.989999771118164
G_GT_6_356#2,8.069999694824219
G_GT_6_356#3,5.789999961853027
G_GT_6_356#4,4.139999866485596
G_GT_6_356#5,4.679999828338623
G_GT_6_356#6,4.840000152587891
G_GT_6_384#0,7.28000020980835
G_GT_6_384#1,1.909999966621399
G_GT_6_384#2,4.559999942779541
G_GT_6_384#3,4.380000114440918
G_GT_6_384#4,3.4700000286102295
G_GT_6_384#5,8.640000343322754
G_GT_6_384#6,5.230000019073486
G_GT_6_384#7,1.8300000429153442
G_GT_6_399#0,2.1700000762939453
G_GT_6_423#0,3.9100000858306885
G_GT_6_423#1,8.65999984741211
G_GT_6_423#2,9.010000228881836
G_GT_6_423#3,5.480000019073486
G_GT_6_423#4,4.800000190734863
G_GT_6_423#5,6.909999847412109
G_GT_6_423#6,2.359999895095825
G_GT_6_423#7,1.899999976158142
G_GT_6_436#0,5.53000020980835
G_GT_6_458#0,3.1600000858306885
G_GT_6_458#1,8.680000305175781
G_GT_6_479#0,7.53000020980835
G_GT_6_479#1,5.210000038146973
G_GT_6_486#0,5.28000020980835
G_GT_6_489#0,7.559999942779541
G_GT_6_489#1,5.480000019073486
G_GT_6_489#2,8.529999732971191
G_GT_6_489#3,7.519999980926514
G_GT_6_525#0,8.989999771118164
G_GT_6_545#0,8.470000267028809
G_GT_6_545#1,4.329999923706055
G_GT_6_545#2,6.369999885559082
G_GT_6_545#3,5.75
G_GT_6_553#0,6.449999809265137
G_GT_6_595#0,7.670000076293945
G_GT_6_595#1,3.7300000190734863
G_GT_6_612#0,9.680000305175781
G_GT_6_612#1,5.400000095367432
G_GT_6_612#2,6.349999904632568
G_GT_6_612#3,3.4200000762939453
G_GT_6_612#4,2.5299999713897705
G_GT_6_612#5,5.650000095367432
G_GT_6_612#6,5.070000171661377
G_GT_6_612#7,1.1200000047683716
G_GT_6_612#8,7.769999980926514
G_GT_6_612#9,3.700000047683716
G_GT_6_612#10,4.590000152587891
G_GT_6_612#11,5.630000114440918
G_GT_6_619#0,4.46999979019165
G_GT_6_619#1,4.659999847412109
G_GT_6_619#2,6.389999866485596
G_GT_6_621#0,1.7000000476837158
G_GT_6_621#1,4.760000228881836
G_GT_6_621#2,4.369999885559082
G_GT_6_621#3,6.579999923706055
G_GT_6_621#4,3.680000066757202
G_GT_6_621#5,1.4900000095367432
G_GT_6_621#6,4.550000190734863
G_GT_6_621#7,3.799999952316284
G_GT_6_621#8,2.8499999046325684
G_GT_6_621#9,3.2799999713897705
G_GT_6_626#0,2.740000009536743
G_GT_6_701#0,5.71999979019165
G_GT_6_701#1,4.179999828338623
G_GT_6_706#0,8.130000114440918
G_GT_6_706#1,8.739999771118164
G_GT_6_706#2,8.710000038146973
G_GT_6_774#0,3.9700000286102295
G_GT_6_817#0,2.609999895095825
G_GT_6_880#0,8.210000038146973
G_GT_6_888#0,5.260000228881836
G_GT_6_911#0,8.069999694824219
G_GT_6_911#1,8.899999618530273
G_GT_6_911#2,3.690000057220459
G_GT_6_1002#0,6.489999771118164
G_GT_6_1002#1,4.190000057220459
G_GT_6_1002#2,6.619999885559082
G_GT_6_1002#3,8.630000114440918
G_GT_6_1002#4,7.849999904632568
G_GT_6_1052#0,9.109999656677246
G_GT_6_1068#0,6.760000228881836
G_GT_6_1068#1,1.5199999809265137
G_GT_6_1068#2,2.5399999618530273
G_GT_6_1068#3,5.880000114440918
G_GT_6_1068#4,6.0
G_GT_6_1068#5,3.559999942779541
G_GT_6_1068#6,8.699999809265137
G_GT_6_1068#7,6.0
G_GT_6_1068#8,1.9600000381469727
