filename_key,livelier
G_GT_6_1384#2,4.070000171661377
G_GT_6_1384#3,4.619999885559082
G_GT_6_1384#4,1.3600000143051147
G_GT_6_1393#0,3.990000009536743
G_GT_6_1394#0,7.269999980926514
G_GT_6_1394#1,2.4800000190734863
G_GT_6_1407#0,1.1799999475479126
G_GT_6_1418#0,5.78000020980835
G_GT_6_1419#0,1.7200000286102295
G_GT_6_1419#1,8.470000267028809
G_GT_6_1419#2,4.320000171661377
G_GT_6_1421#0,5.369999885559082
G_GT_6_1421#1,3.640000104904175
G_GT_6_1421#2,0.5299999713897705
G_GT_6_1421#3,4.800000190734863
G_GT_6_1423#0,3.4100000858306885
G_GT_6_1423#1,5.75
G_GT_6_1423#2,1.1799999475479126
G_GT_6_1443#0,5.010000228881836
G_GT_6_1443#1,4.480000019073486
G_GT_6_1443#2,2.859999895095825
G_GT_6_1443#3,8.6899995803833
G_GT_6_1443#4,3.680000066757202
G_GT_6_1443#5,4.909999847412109
G_GT_6_1443#6,8.90999984741211
G_GT_6_1443#7,5.25
G_GT_6_1443#8,5.25
G_GT_6_1443#9,8.930000305175781
G_GT_6_1443#10,4.440000057220459
G_GT_6_1443#11,8.8100004196167
G_GT_6_1443#12,5.150000095367432
G_GT_6_1443#13,8.0600004196167
G_GT_6_1443#14,8.729999542236328
G_GT_6_1443#15,6.070000171661377
G_GT_6_1443#16,1.75
G_GT_6_1443#17,1.8799999952316284
G_GT_6_1443#18,1.5
G_GT_6_1443#19,2.859999895095825
G_GT_6_1443#20,6.849999904632568
G_GT_6_1443#21,2.4100000858306885
G_GT_6_1443#22,7.829999923706055
G_GT_6_1443#23,3.7300000190734863
G_GT_6_1444#0,5.480000019073486
G_GT_6_1444#1,1.4800000190734863
G_GT_6_1444#2,2.890000104904175
G_GT_6_1444#3,3.809999942779541
G_GT_6_1458#0,4.570000171661377
G_GT_6_1458#1,3.049999952316284
G_GT_6_1458#2,3.2699999809265137
G_GT_6_1458#3,3.8399999141693115
G_GT_6_1458#4,2.190000057220459
G_GT_6_1458#5,3.4800000190734863
G_GT_6_1458#6,1.3600000143051147
G_GT_6_1458#7,3.119999885559082
G_GT_6_1459#0,3.7799999713897705
G_GT_6_1459#1,2.380000114440918
G_GT_6_1463#0,1.2400000095367432
G_GT_6_1464#0,5.849999904632568
G_GT_6_1464#1,0.9200000166893005
G_GT_6_1464#2,1.0
G_GT_6_1485#0,9.319999694824219
G_GT_6_1485#1,4.989999771118164
G_GT_6_1485#2,6.559999942779541
G_GT_6_1492#0,3.619999885559082
G_GT_6_1492#1,4.96999979019165
G_GT_6_1494#0,0.6100000143051147
G_GT_6_1500#0,2.4700000286102295
G_GT_6_1500#1,1.8200000524520874
G_GT_6_1500#2,4.099999904632568
G_GT_6_1502#0,3.1500000953674316
G_GT_6_1502#1,0.20999999344348907
G_GT_6_1502#2,1.7000000476837158
G_GT_6_1502#3,1.7799999713897705
G_GT_6_1505#0,3.490000009536743
G_GT_6_1505#1,3.1700000762939453
G_GT_6_1510#0,2.7799999713897705
G_GT_6_1510#1,2.75
G_GT_6_1515#0,3.3499999046325684
G_GT_6_1515#1,2.1700000762939453
G_GT_6_1515#2,3.5399999618530273
G_GT_6_1518#0,3.3499999046325684
G_GT_6_1518#1,4.730000019073486
G_GT_6_1518#2,5.25
G_GT_6_1518#3,4.75
G_GT_6_1518#4,1.8600000143051147
G_GT_6_1518#5,3.5799999237060547
G_GT_6_1518#6,4.889999866485596
G_GT_6_1518#7,0.44999998807907104
G_GT_6_1518#8,1.6100000143051147
G_GT_6_1518#9,0.8199999928474426
G_GT_6_1518#10,1.940000057220459
G_GT_6_1518#11,3.1500000953674316
G_GT_6_1518#12,3.140000104904175
G_GT_6_1518#13,4.119999885559082
