filename_key,wealthier
G_GT_5_22#15,8.319999694824219
G_GT_5_22#16,4.889999866485596
G_GT_5_22#17,8.539999961853027
G_GT_5_32#0,8.170000076293945
G_GT_5_59#0,4.46999979019165
G_GT_5_59#1,4.170000076293945
G_GT_5_125#0,8.779999732971191
G_GT_5_125#1,6.480000019073486
G_GT_5_125#2,3.640000104904175
G_GT_5_125#3,6.900000095367432
G_GT_5_125#4,3.6600000858306885
G_GT_5_162#0,6.300000190734863
G_GT_5_162#1,4.440000057220459
G_GT_5_162#2,6.309999942779541
G_GT_5_162#3,5.460000038146973
G_GT_5_162#4,7.440000057220459
G_GT_5_188#0,9.170000076293945
G_GT_6_85#0,2.690000057220459
G_GT_6_91#0,1.9600000381469727
G_GT_6_283#0,7.940000057220459
G_GT_6_283#1,2.549999952316284
G_GT_6_283#2,4.739999771118164
G_GT_6_283#3,7.889999866485596
G_GT_6_338#0,8.050000190734863
G_GT_6_338#1,5.760000228881836
G_GT_6_338#2,8.609999656677246
G_GT_6_338#3,8.170000076293945
G_GT_6_338#4,6.690000057220459
G_GT_6_338#5,3.9000000953674316
G_GT_6_349#0,6.929999828338623
G_GT_6_349#1,8.199999809265137
G_GT_6_349#2,5.059999942779541
G_GT_6_349#3,8.729999542236328
G_GT_6_349#4,7.989999771118164
G_GT_6_349#5,8.369999885559082
G_GT_6_349#6,8.079999923706055
G_GT_6_356#0,8.170000076293945
G_GT_6_356#1,8.220000267028809
G_GT_6_356#2,6.409999847412109
G_GT_6_356#3,7.329999923706055
G_GT_6_356#4,4.210000038146973
G_GT_6_356#5,2.640000104904175
G_GT_6_356#6,2.819999933242798
G_GT_6_384#0,4.050000190734863
G_GT_6_384#1,8.260000228881836
G_GT_6_384#2,8.359999656677246
G_GT_6_384#3,7.519999980926514
G_GT_6_384#4,8.210000038146973
G_GT_6_384#5,5.28000020980835
G_GT_6_384#6,4.179999828338623
G_GT_6_384#7,9.210000038146973
G_GT_6_399#0,7.320000171661377
G_GT_6_423#0,4.409999847412109
G_GT_6_423#1,7.130000114440918
G_GT_6_423#2,6.630000114440918
G_GT_6_423#3,4.449999809265137
G_GT_6_423#4,6.699999809265137
G_GT_6_423#5,7.159999847412109
G_GT_6_423#6,2.9200000762939453
G_GT_6_423#7,2.7799999713897705
G_GT_6_436#0,7.519999980926514
G_GT_6_458#0,6.550000190734863
G_GT_6_458#1,8.960000038146973
G_GT_6_479#0,7.670000076293945
G_GT_6_479#1,6.849999904632568
G_GT_6_486#0,3.8299999237060547
G_GT_6_489#0,5.260000228881836
G_GT_6_489#1,2.950000047683716
G_GT_6_489#2,8.9399995803833
G_GT_6_489#3,9.539999961853027
G_GT_6_525#0,9.539999961853027
G_GT_6_545#0,3.009999990463257
G_GT_6_545#1,7.460000038146973
G_GT_6_545#2,2.049999952316284
G_GT_6_545#3,3.5199999809265137
G_GT_6_553#0,4.420000076293945
G_GT_6_595#0,8.550000190734863
G_GT_6_595#1,8.489999771118164
G_GT_6_612#0,8.5
G_GT_6_612#1,5.929999828338623
G_GT_6_612#2,8.6899995803833
G_GT_6_612#3,7.010000228881836
G_GT_6_612#4,5.809999942779541
G_GT_6_612#5,6.429999828338623
G_GT_6_612#6,9.3100004196167
G_GT_6_612#7,1.5800000429153442
G_GT_6_612#8,7.170000076293945
G_GT_6_612#9,3.640000104904175
G_GT_6_612#10,8.0
G_GT_6_612#11,5.369999885559082
G_GT_6_619#0,7.420000076293945
G_GT_6_619#1,4.670000076293945
G_GT_6_619#2,3.0799999237060547
G_GT_6_621#0,2.0999999046325684
G_GT_6_621#1,6.769999980926514
G_GT_6_621#2,1.3700000047683716
G_GT_6_621#3,5.789999961853027
G_GT_6_621#4,7.610000133514404
G_GT_6_621#5,3.4200000762939453
G_GT_6_621#6,3.380000114440918
G_GT_6_621#7,6.400000095367432
G_GT_6_621#8,7.21999979019165
G_GT_6_621#9,8.279999732971191
G_GT_6_626#0,7.099999904632568
G_GT_6_701#0,4.269999980926514
G_GT_6_701#1,7.809999942779541
G_GT_6_706#0,9.140000343322754
G_GT_6_706#1,9.710000038146973
G_GT_6_706#2,8.739999771118164
G_GT_6_774#0,8.949999809265137
G_GT_6_817#0,8.460000038146973
G_GT_6_880#0,7.039999961853027
G_GT_6_888#0,5.150000095367432
G_GT_6_911#0,2.2899999618530273
G_GT_6_911#1,7.860000133514404
G_GT_6_911#2,2.109999895095825
G_GT_6_1002#0,7.929999828338623
G_GT_6_1002#1,5.170000076293945
G_GT_6_1002#2,7.820000171661377
G_GT_6_1002#3,7.409999847412109
G_GT_6_1002#4,7.380000114440918
G_GT_6_1052#0,8.420000076293945
G_GT_6_1068#0,7.28000020980835
G_GT_6_1068#1,6.949999809265137
G_GT_6_1068#2,8.279999732971191
G_GT_6_1068#3,8.380000114440918
G_GT_6_1068#4,8.4399995803833
G_GT_6_1068#5,8.180000305175781
G_GT_6_1068#6,9.050000190734863
G_GT_6_1068#7,6.650000095367432
G_GT_6_1068#8,6.019999980926514
G_GT_6_1068#9,8.130000114440918
G_GT_6_1068#10,9.4399995803833
G_GT_6_1068#11,6.110000133514404
G_GT_6_1068#12,6.039999961853027
G_GT_6_1223#0,9.039999961853027
G_GT_6_1226#0,5.119999885559082
G_GT_6_1226#1,8.489999771118164
G_GT_6_1293#0,4.170000076293945
G_GT_6_1293#1,7.559999942779541
G_GT_6_1293#2,6.070000171661377
G_GT_6_1293#3,6.550000190734863
G_GT_6_1293#4,6.070000171661377
G_GT_6_1293#5,7.559999942779541
G_GT_6_1293#6,6.550000190734863
G_GT_6_1293#7,6.070000171661377
G_GT_6_1293#8,7.559999942779541
G_GT_6_1293#9,6.550000190734863
