topic,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
143,0.0,0.03773584905660377,0.0,0.08490566037735849,0.0,0.42452830188679247,0.009433962264150943,0.0,0.0,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.33962264150943394,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0
144,0.0,0.039603960396039604,0.009900990099009901,0.009900990099009901,0.16831683168316833,0.0,0.0,0.009900990099009901,0.0,0.0,0.15841584158415842,0.0,0.0,0.2079207920792079,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31683168316831684,0.019801980198019802,0.0,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.019867549668874173,0.0,0.026490066225165563,0.006622516556291391,0.0,0.013245033112582781,0.013245033112582781,0.0,0.0,0.006622516556291391,0.006622516556291391,0.013245033112582781,0.013245033112582781,0.0,0.033112582781456956,0.026490066225165563,0.019867549668874173,0.026490066225165563,0.019867549668874173,0.006622516556291391,0.033112582781456956,0.0,0.006622516556291391,0.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.019867549668874173,0.033112582781456956,0.006622516556291391,0.019867549668874173,0.0,0.5629139072847682,0.026490066225165563,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.0,0.0
146,0.0,0.014084507042253521,0.014084507042253521,0.009389671361502348,0.2300469483568075,0.014084507042253521,0.018779342723004695,0.014084507042253521,0.004694835680751174,0.028169014084507043,0.07981220657276995,0.014084507042253521,0.018779342723004695,0.0,0.009389671361502348,0.004694835680751174,0.03286384976525822,0.004694835680751174,0.03755868544600939,0.056338028169014086,0.06572769953051644,0.014084507042253521,0.07981220657276995,0.03286384976525822,0.051643192488262914,0.056338028169014086,0.009389671361502348,0.0,0.009389671361502348,0.004694835680751174,0.004694835680751174,0.009389671361502348,0.014084507042253521,0.0,0.018779342723004695,0.018779342723004695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174
147,0.0,0.037037037037037035,0.0,0.0,0.009259259259259259,0.018518518518518517,0.027777777777777776,0.009259259259259259,0.0,0.0,0.0,0.018518518518518517,0.009259259259259259,0.0,0.018518518518518517,0.009259259259259259,0.027777777777777776,0.009259259259259259,0.0,0.0,0.018518518518518517,0.0,0.0,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.027777777777777776,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.0,0.0,0.009259259259259259,0.0
148,0.0,0.00966183574879227,0.01932367149758454,0.01932367149758454,0.01932367149758454,0.033816425120772944,0.024154589371980676,0.024154589371980676,0.004830917874396135,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.00966183574879227,0.014492753623188406,0.024154589371980676,0.05314009661835749,0.014492753623188406,0.004830917874396135,0.0,0.057971014492753624,0.10628019323671498,0.043478260869565216,0.03864734299516908,0.03864734299516908,0.014492753623188406,0.004830917874396135,0.014492753623188406,0.014492753623188406,0.01932367149758454,0.01932367149758454,0.004830917874396135,0.18357487922705315,0.00966183574879227,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.004830917874396135,0.00966183574879227,0.014492753623188406,0.04830917874396135
149,0.0,0.0,0.009009009009009009,0.018018018018018018,0.0,0.018018018018018018,0.0,0.0,0.009009009009009009,0.36936936936936937,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.02702702702702703,0.16216216216216217,0.036036036036036036,0.0,0.009009009009009009,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07207207207207207,0.036036036036036036
150,0.0,0.0,0.01098901098901099,0.0,0.0,0.0989010989010989,0.01098901098901099,0.0,0.01098901098901099,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.0,0.02197802197802198,0.0,0.0,0.7912087912087912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0
151,0.0,0.032520325203252036,0.016260162601626018,0.024390243902439025,0.0,0.016260162601626018,0.07317073170731707,0.04878048780487805,0.008130081300813009,0.04878048780487805,0.10569105691056911,0.016260162601626018,0.04878048780487805,0.008130081300813009,0.0,0.25203252032520324,0.056910569105691054,0.008130081300813009,0.0,0.024390243902439025,0.0,0.024390243902439025,0.016260162601626018,0.07317073170731707,0.032520325203252036,0.0,0.0,0.0,0.016260162601626018,0.0,0.0,0.0,0.008130081300813009,0.016260162601626018,0.016260162601626018,0.0,0.0,0.0,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.010869565217391304,0.010869565217391304,0.021739130434782608,0.11956521739130435,0.021739130434782608,0.0,0.2826086956521739,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.010869565217391304,0.021739130434782608,0.0,0.0,0.010869565217391304,0.25,0.03260869565217391,0.010869565217391304,0.0,0.0,0.0,0.0,0.043478260869565216,0.010869565217391304,0.0,0.0,0.010869565217391304,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0
